Theodor Fischer	7	27	28	29	31	32	34	35	37	54	56	83	85	95	99	103	104	105	106	116	117	129	139	141	148	162	168	170	171	173	179	192	193	204	206	207	209	212	213	215	221	223	239	243	244	246	257	260	263	265	284	285	304	312	315	316	317	318	324	326	327	328	329	332	337	344	345	350	352	357	358	370	371	373	377	387	388	389	403	404	409	415	425	426	427	433	439	444	445	459	465	474	477																																																				
Emanuel und Sophie Fohn	27	28	29	30	31	32	33	34	35	38	39	43	55	61	63	65	66	67	70	84	85	86	87	91	96	102	108	109	110	111	112	114	117	121	123	125	127	137	138	143	155	156	158	159	160	161	164	165	168	170	172	177	178	179	182	183	193	194	196	207	208	209	211	212	213	214	216	240	243	244	245	254	258	289	291	292	294	295	299	300	301	302	303	305	308	317	318	319	324	325	327	328	333	337	338	339	340	341	347	353	358	359	360	366	367	370	371	372	373	374	376	380	381	387	388	397	404	415	417	418	419	420	425	427	429	430	431	438	439	440	442	443	444	447	452	453	454	457	458	459	461	464	471	476	478
Harald Halvorsen	24	47	56	104	140	181	214	266	285	293	297	318	329	359	360	364	379	389	405	420	445	453																																																																																																																											
Curt Valentin	24	47	56	104	140	181	214	266	285	293	297	318	329	359	360	364	379	389	405	420	445	453																																																																																																																											
Zack (Pariser Galerie)	57	170																																																																																																																																															
Göring Direktverkauf	29	34	35	38	170	209	245	324																																																																																																																																									
Vilstrup Direktverkauf	92	105	162	191	246	360	445																																																																																																																																										
