Caven	356																																																																										
Cézanne	170																																																																										
Chagall	14	102	107	170	207	223	255	289	333	347	348	370	416	434	442	456	464	467																																																									
Chamoni	307																																																																										
Chirico de	170																																																																										
Christiansen	456																																																																										
Cissarz	98																																																																										
Clar	117																																																																										
Claus	336																																																																										
Clément	370	442																																																																									
Clüsserath	416																																																																										
Cöster	238	283	387	392	426	467																																																																					
Cohn	59																																																																										
Comes	403																																																																										
Corinth	8	14	15	28	41	42	46	54	62	83	91	95	98	107	129	487	148	170	207	221	223	254	255	283	284	289	307	310	317	336	343	348	356	362	367	370	371	387	391	403	414	423	426	434	435	442	447	456	467																										
Corsten	403																																																																										
Crodell	28	154	356	426	447																																																																						
Croissant	387																																																																										
Cunz	170																																																																										
Cürten	129	403																																																																									
Czapski	304																																																																										
Czobel	46																																																																										
Dahlem	426																																																																										
Dahlen	129																																																																										
Dahler	170																																																																										
Damker	255																																																																										
Davidsohn	255																																																																										
Dravringhausen	7	62	107	207	310	324	371	392	416	442	464																																																																
Degener	426																																																																										
Degenkolb	348																																																																										
Degner	337	403	426																																																																								
De Haer	51	133	224	315	324	404																																																																					
Delaunay	129	371																																																																									
Dell	129																																																																										
Dellavilla	207																																																																										
Denis	170																																																																										
Denecke	456																																																																										
Derain	107	170	324	371	416	426																																																																					
Dettmann	371																																																																										
Deuser	129																																																																										
Deusser	468																																																																										
Dexel	154	170	289	304	447	468																																																																					
Dickinson	333																																																																										
Diehl	170	201	207	208	230	468																																																																					
Dienz	130																																																																										
Die Schaffenden	155																																																																										
Dietrich	307																																																																										
Dietz	255	404																																																																									
Dietze	102																																																																										
Dillinger	310	371																																																																									
Dinklage	387																																																																										
Ditscher	387																																																																										
Diveky	447																																																																										
Dix	15	28	46	62	83	102	107	108	117	130	155	170	208	228	237	238	243	275	289	307	311	324	337	348	356	367	371	404	414	416	435	442	447	456	468																																								
Dobers	59	62																																																																									
Dobrinski	337																																																																										
Dobrowsky	404																																																																										
Doerbecker	170																																																																										
Dollerschell	348	412	468	223																																																																							
Dombrowski	230	231																																																																									
Dominicus	46																																																																										
Domke	59																																																																										
Doms	117																																																																										
Domscheit	28	42	337	356	427																																																																						
Dondorf	102																																																																										
Dorn	238																																																																										
Dornbach	51	130																																																																									
Dossburg	289																																																																										
Döbel	28	315																																																																									
Dörries	284	289																																																																									
Drechsler	228																																																																										
Drees	468																																																																										
Dreesbeindicke	223																																																																										
Dressler	28	348	427																																																																								
Drewes	208																																																																										
Drexel	28	171	464																																																																								
